[  325758ms] [LOG] FPS: 40.37419990152634 | Frame avg: 24.76829268292683ms | Frame max: 32.400000000000006ms | Game avg: 0.004878048780487806ms | Render avg: 0.004878048780487806ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  330752ms] [LOG] FPS: 40.33051347629352 | Frame avg: 24.795121951219517ms | Frame max: 39.1        ms | Game avg: 0.007317073170731709ms | Render avg: 0.004878048780487806ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  335770ms] [LOG] FPS: 39.957119189162846 | Frame avg: 25.026829268292683ms | Frame max: 34.2        ms | Game avg: 0.0         ms | Render avg: 0.0         ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  340774ms] [LOG] FPS: 40.99160648057778 | Frame avg: 24.3952380952381ms | Frame max: 31.900000000000006ms | Game avg: 0.0         ms | Render avg: 0.011904761904761906ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  345750ms] [LOG] FPS: 49.64257347100875 | Frame avg: 20.14399999999999ms | Frame max: 43.50000000000001ms | Game avg: 0.0         ms | Render avg: 0.0         ms | Window hitches: 4 @ http://127.0.0.1:9999/pixl.js:5
[  350754ms] [LOG] FPS: 41.30199626315272 | Frame avg: 24.211904761904762ms | Frame max: 34.4        ms | Game avg: 0.016666666666666666ms | Render avg: 0.011904761904761906ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  355758ms] [LOG] FPS: 43.260249729623425 | Frame avg: 23.1159090909091ms | Frame max: 33.2        ms | Game avg: 0.0022727272727272726ms | Render avg: 0.00909090909090909ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  360759ms] [LOG] FPS: 40.92769440654842 | Frame avg: 24.433333333333337ms | Frame max: 34.4        ms | Game avg: 0.002380952380952381ms | Render avg: 0.011904761904761906ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  365756ms] [LOG] FPS: 41.45691442108381 | Frame avg: 24.121428571428567ms | Frame max: 32.1        ms | Game avg: 0.002380952380952381ms | Render avg: 0.009523809523809525ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  370759ms] [LOG] FPS: 40.40603133931212 | Frame avg: 24.748780487804872ms | Frame max: 35.4        ms | Game avg: 0.004878048780487806ms | Render avg: 0.002439024390243903ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  375754ms] [LOG] FPS: 40.4498816101026 | Frame avg: 24.721951219512196ms | Frame max: 34.7        ms | Game avg: 0.002439024390243903ms | Render avg: 0.0         ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  380767ms] [LOG] FPS: 41.50607767565966 | Frame avg: 24.092857142857138ms | Frame max: 34.5        ms | Game avg: 0.002380952380952381ms | Render avg: 0.009523809523809525ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  385751ms] [LOG] FPS: 39.94154895275207 | Frame avg: 25.036585365853657ms | Frame max: 33.2        ms | Game avg: 0.002439024390243903ms | Render avg: 0.007317073170731709ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  390755ms] [LOG] FPS: 42.65449856165062 | Frame avg: 23.444186046511632ms | Frame max: 34.4        ms | Game avg: 0.002325581395348837ms | Render avg: 0.009302325581395349ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  395769ms] [LOG] FPS: 42.54477095082616 | Frame avg: 23.504651162790694ms | Frame max: 34.2        ms | Game avg: 0.002325581395348837ms | Render avg: 0.004651162790697674ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  400774ms] [LOG] FPS: 40.63429137760159 | Frame avg: 24.60975609756097ms | Frame max: 33.800000000000004ms | Game avg: 0.024390243902439025ms | Render avg: 0.009756097560975611ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  405757ms] [LOG] FPS: 39.61572744379519 | Frame avg: 25.2425     ms | Frame max: 36.300000000000004ms | Game avg: 0.0         ms | Render avg: 0.0025      ms | Window hitches: 3 @ http://127.0.0.1:9999/pixl.js:5
[  410756ms] [LOG] FPS: 41.18050789293067 | Frame avg: 24.283333333333342ms | Frame max: 34.4        ms | Game avg: 0.0         ms | Render avg: 0.002380952380952381ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  415768ms] [LOG] FPS: 40.96362040378426 | Frame avg: 24.41190476190476ms | Frame max: 32.2        ms | Game avg: 0.0         ms | Render avg: 0.0071428571428571435ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  420767ms] [LOG] FPS: 41.277641277641266 | Frame avg: 24.226190476190485ms | Frame max: 34.0        ms | Game avg: 0.0         ms | Render avg: 0.0071428571428571435ms | Window hitches: 3 @ http://127.0.0.1:9999/pixl.js:5
[  425756ms] [LOG] FPS: 40.59405940594059 | Frame avg: 24.634146341463417ms | Frame max: 35.2        ms | Game avg: 0.004878048780487806ms | Render avg: 0.009756097560975611ms | Window hitches: 3 @ http://127.0.0.1:9999/pixl.js:5
[  430741ms] [LOG] FPS: 41.24116260801257 | Frame avg: 24.247619047619047ms | Frame max: 34.10000000000001ms | Game avg: 0.0071428571428571435ms | Render avg: 0.016666666666666666ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  435751ms] [LOG] FPS: 41.26547455295736 | Frame avg: 24.233333333333334ms | Frame max: 34.0        ms | Game avg: 0.002380952380952381ms | Render avg: 0.011904761904761906ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  440753ms] [LOG] FPS: 42.423046566692975 | Frame avg: 23.572093023255817ms | Frame max: 34.60000000000001ms | Game avg: 0.0069767441860465115ms | Render avg: 0.009302325581395349ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  445750ms] [LOG] FPS: 55.24316859031271 | Frame avg: 18.101785714285715ms | Frame max: 34.4        ms | Game avg: 0.0035714285714285718ms | Render avg: 0.0035714285714285718ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  450772ms] [LOG] FPS: 42.26459602909377 | Frame avg: 23.66046511627907ms | Frame max: 33.800000000000004ms | Game avg: 0.013953488372093023ms | Render avg: 0.0069767441860465115ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  455772ms] [LOG] FPS: 40.56995844053037 | Frame avg: 24.64878048780488ms | Frame max: 34.7        ms | Game avg: 0.002439024390243903ms | Render avg: 0.004878048780487806ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  460773ms] [LOG] FPS: 42.57847311615011 | Frame avg: 23.486046511627915ms | Frame max: 33.6        ms | Game avg: 0.004651162790697674ms | Render avg: 0.013953488372093023ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  465772ms] [LOG] FPS: 42.020912733313786 | Frame avg: 23.797674418604654ms | Frame max: 34.10000000000001ms | Game avg: 0.002325581395348837ms | Render avg: 0.0186046511627907ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  470759ms] [LOG] FPS: 40.93859211183225 | Frame avg: 24.426829268292686ms | Frame max: 34.4        ms | Game avg: 0.007317073170731709ms | Render avg: 0.021951219512195128ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  475741ms] [LOG] FPS: 41.30199626315272 | Frame avg: 24.211904761904762ms | Frame max: 32.900000000000006ms | Game avg: 0.002380952380952381ms | Render avg: 0.01904761904761905ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  480772ms] [LOG] FPS: 41.49787570398182 | Frame avg: 24.097619047619048ms | Frame max: 33.800000000000004ms | Game avg: 0.0         ms | Render avg: 0.014285714285714287ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
